Song Name,Artist,Aberdeen-SD,Aberdeen-WA,Abilene,Akron,Albany,Albuquerque,Allentown,Anaheim,Anchorage,Asheville,Atlanta,Aurora,Austin,Bakersfield,Baltimore,Barnstable,Baton-Rouge,Bellingham,Belvidere,Bend,Billings,Birmingham,Bismarck,Boise,Boston,Brentwood-NY,Bridgeport,Brockton,Brooklyn,Brownsville,Buffalo,Cape-Coral,Casper,Cedar-Rapids,Centreville,Charleston,Charlotte,Cheyenne,Chicago,Chico,Cincinnati,Clarksville-TN,Cleveland,Colorado-Springs,Columbia,Columbus,Concord-CA,Coram-NY,Coventry-RI,Crystal-Lake,Dale-City-VA,Dallas,Davenport,Dayton,Denver,Detroit,Dodge-City,Douglas-GA,Duluth,Dumas,El-Paso,Elgin,Erie,Eugene,Evanston,Fairbanks,Fairfield,Fargo,Fayetteville-AR,Fort-Lauderdale,Fort-Worth,Freeport-FL,Fremont-CA,Fresno,Grand-Island,Grand-Junction,Grand-Rapids,Great-Falls,Green-Bay,Greensboro,Greenville,Hammond-IN,Hanover-PA,Hartford,Hilo,Honolulu,Houston,Idaho-Falls,Indianapolis,Jackson,Jacksonville,Joliet,Juneau,Kansas-City,Keene-NH,Kennewick,Killeen,Knoxville,Lansing,Laredo,Las-Vegas,Lewiston,Little-Rock,Los-Angeles,Louisville,Lubbock,Macon,Madison,Manhattan,Mansfield-City,Marquette,McAllen,Memphis,Mesa,Miami,Milford-DE,Milwaukee,Minneapolis,Missoula,Mobile,Modesto,Nashville,New-Haven,New-Orleans,New-Ulm-MN,New-York-City,Norfolk,North-Platte,Norwich,Oakland,Ogden,Oklahoma-City,Omaha,Oneonta,Orlando,Oxnard,Philadelphia,Phoenix,Pine-Bluff,Pittsburgh,Pittsfield,Pocatello,Port-Angeles,Port-Saint-Lucie,Portland,Providence,Provo,Pueblo,Raleigh,Rapid-City,Reading,Reno,Richmond,Riverside,Rochester,Rockford,Rome,Sacramento,Saint-Cloud,Saint-Paul,Salinas,Salt-Lake-City,San-Antonio,San-Diego,San-Francisco,San-Jose,Santa-Barbara,Sarasota,Scranton,Seattle,Shreveport,Sioux-Falls,South-Boston,Spokane,Springfield-IL,Springfield-MA,Springfield-MO,St.-Louis,Stockton,Syracuse,Tacoma,Tallahassee,Tampa,The-Woodlands-TX,Thousand-Oaks,Toms-River,Tracy-CA,Trenton,Tucson,Tulsa,Twin-Falls,Tyler,Virginia-Beach,Warren-OH,Washington-D.C.,Wichita,Wilmington,Worcester,Yakima,Youngstown,Yuma
Cold Heart (PNAU Remix),Elton John & Dua Lipa,1,14,1,1,1,1,1,2,1,6,12,,5,2,8,1,15,9,1,1,1,21,15,1,2,4,1,1,,1,20,1,2,2,,8,10,25,2,11,1,3,2,1,8,3,2,1,3,1,4,5,1,3,4,5,17,22,2,,1,1,1,6,30,1,1,3,2,1,4,2,1,2,1,1,1,1,1,18,2,2,1,1,1,1,1,1,2,25,1,2,,1,1,1,4,1,1,1,1,1,3,5,3,1,17,7,2,1,10,1,6,1,1,2,8,3,6,2,2,7,1,5,,2,6,9,1,4,1,2,1,,1,1,3,1,,1,1,1,,1,2,1,1,3,3,1,3,1,11,2,1,2,13,1,1,,7,1,1,5,2,1,6,1,5,1,12,1,,1,2,1,1,2,2,1,1,1,1,1,2,1,4,1,1,1,1,4,6,11,4,1,2,1,1,1,1
Big Energy,Latto,2,4,5,3,8,2,2,1,2,14,8,,8,1,9,20,6,12,13,8,6,9,,6,15,6,14,18,6,3,,3,3,3,,5,9,,29,13,4,4,3,21,11,9,4,4,4,6,5,6,7,1,5,3,,5,14,23,5,5,7,7,,4,2,37,9,10,6,3,5,1,9,2,6,16,2,10,4,13,2,10,3,2,7,10,5,8,2,23,,3,13,6,3,3,30,3,2,9,5,4,5,3,5,21,17,9,3,2,4,2,12,1,4,16,9,5,1,11,4,3,,7,2,12,20,8,3,3,8,,8,2,4,2,3,2,8,13,,7,11,8,4,1,11,8,2,2,3,1,4,3,16,2,12,,12,3,5,3,6,5,8,2,38,12,5,9,37,7,3,5,9,5,1,13,7,4,2,6,4,2,6,2,2,2,7,2,3,12,8,5,3,9,7,6,2
Heat Waves,Glass Animals,3,,4,13,23,3,28,8,5,28,43,,13,7,17,11,20,19,,38,4,39,7,8,12,22,16,17,,10,,5,,7,,17,18,41,13,6,11,20,17,5,21,12,9,19,,10,8,10,6,20,15,10,,,,3,15,9,27,10,,8,11,13,16,6,5,5,10,7,4,8,4,42,6,,27,9,18,11,2,7,9,12,8,38,12,13,,7,5,2,10,12,22,31,6,5,9,7,12,17,,39,13,2,6,14,13,5,8,9,20,24,45,16,10,20,18,18,21,18,20,10,7,17,5,10,4,2,5,6,13,7,35,7,7,5,4,6,9,13,15,5,13,4,8,9,24,9,8,8,,9,8,,42,9,10,8,9,11,14,7,,6,7,3,,4,15,6,10,12,8,14,2,22,8,9,12,31,23,7,3,8,11,8,27,20,18,6,6,12,2,22,4
Big Subwoofer (Single Version),"MOUNT WESTMORE, Snoop Dogg, Ice Cube, E-40 & Too $hort",4,,,,,15,,29,14,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,4,,,8,,,,,,,,9,,,,,,40,,,,,40,17,,,,,39,8,17,,4,,,,,,,,,45,,,,,,,,,44,,,,,,,,,,31,,,,,,,,,,29,,,,,32,,6,,,,,,,,,10,18,,,,,42,,38,,,,,,,,,,8,,,,5,,7,,,,4,,,,34,,16,29,19,16,,,,,,,,,,,,5,,,,,,,,9,,21,,,,,,,,,,,,
Enemy (From the series Arcane League of Legends),"Imagine Dragons, Arcane & League of Legends",5,,,36,50,40,,50,15,,,,,,,,,28,,,14,,44,15,,,,,,44,,,5,47,,,,,,,,,,25,,35,50,,,37,,,,,38,,,,,26,,,,21,,,,,,,,,,46,35,,,,50,,,,,,,,,,,,,,,37,,28,50,,50,,,,,,,,,,,36,,,,,,,37,44,,,,,,,5,,,,33,,30,46,40,,45,,,40,,,,26,,,24,,16,7,47,,,,50,,,,,48,32,,21,13,,,,48,44,37,,30,,,,12,,,,,,,21,,,,,,21,,,31,30,,,,,37,,,29,,
Right Down The Line,Gerry Rafferty,6,,14,28,6,10,13,4,8,3,14,,2,21,13,25,4,2,,11,37,,21,24,6,3,7,2,,9,,18,32,,,3,24,,5,4,28,23,20,12,33,6,3,8,,17,11,9,,16,2,24,32,,9,2,4,27,4,2,,,7,9,4,8,27,15,3,14,,,24,10,26,15,29,32,,26,20,36,14,,18,20,41,11,8,27,45,15,31,42,6,25,14,28,20,2,20,16,,5,20,28,14,23,36,13,6,,2,4,3,,18,4,12,16,,9,16,,9,3,24,21,25,,47,4,7,11,,15,10,14,26,14,3,7,7,31,4,,41,26,5,5,12,40,20,14,43,,2,5,6,2,3,3,3,22,,3,,13,,21,36,47,13,14,24,17,5,18,24,17,5,28,7,6,5,13,,,24,41,3,21,25,4,5,33,37
Beggin,Måneskin,7,39,,18,,26,26,12,33,,,,26,46,44,21,,,32,6,21,,,23,30,46,29,16,,,,25,9,42,,,,,19,,33,,28,33,,26,,11,,14,,41,29,,32,44,,,,,32,32,,18,,5,,30,,35,32,16,,,,34,35,12,20,,,20,27,24,15,35,28,30,28,,35,18,,30,,14,19,,39,41,32,19,,33,,30,,30,36,6,19,,,24,41,16,,45,,24,,,16,,,46,,27,10,,31,28,26,,12,17,41,22,,22,38,15,,23,13,17,25,12,,21,48,28,,43,26,7,,45,45,,,38,39,24,,,,30,,24,25,32,,6,47,16,17,,,47,12,41,44,23,47,29,,31,31,34,22,23,35,27,,22,39,11,,15,39
Ghost,Justin Bieber,8,,,16,19,33,37,37,24,34,,,,26,,22,47,11,45,,24,42,,9,18,27,31,23,,,,30,42,11,,,,,39,,18,41,33,20,,37,,34,,50,,,24,,21,33,,,33,,29,,43,,2,32,,41,,45,,33,,33,,24,14,21,23,,,49,6,27,24,16,,5,49,,31,,,24,27,16,,,23,,,7,,50,32,50,,,4,,,,35,34,44,33,34,23,12,39,34,,15,,28,44,,7,,,8,38,14,,27,,42,34,,31,13,11,,29,36,20,21,,,12,43,29,,,40,35,39,32,49,,,19,49,,23,31,,39,,22,,20,,10,20,12,18,40,26,12,26,26,41,,,32,,33,43,33,,46,,,,28,20,5,,20,21
abcdefu,GAYLE,9,,19,10,3,5,4,18,3,8,36,,20,9,23,28,21,5,2,12,2,37,2,2,20,14,13,13,,34,,9,25,10,,27,34,37,10,32,9,18,12,7,23,18,16,15,2,11,20,8,2,5,13,9,,,27,,16,3,24,19,,2,12,10,8,13,7,11,19,6,2,13,3,2,3,26,15,10,3,20,6,11,12,2,7,48,6,12,,8,10,8,9,7,3,11,9,15,17,26,9,7,47,12,1,,9,25,21,10,20,31,14,5,4,21,8,18,9,15,,21,41,14,4,14,4,8,2,29,11,22,11,13,,8,,12,,12,8,16,5,15,23,10,9,12,32,22,11,6,42,13,3,,,6,22,26,11,8,20,9,40,8,34,6,,5,6,4,32,8,19,18,4,12,12,18,13,10,3,11,11,4,26,5,28,4,20,4,29,3,38,2,3
I Should Live In Salt,The National,10,,,,,,,,,5,,,25,,,39,,25,,24,,,,,,37,,31,,,,,,,,36,,,,,,,,,,,,,,,,,,,34,,,,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,,,,,,,,,,32,,,,,,,,,,37,20,,,45,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,49,29,,,50,,37,,,41,,,,,,,,,,,29,,,,26,,,,,,,,,,,,,,,,
